n	lnTxt	etiquetado	nbSyl	met	metNoExtra	lnTyp	match
chocano	se arquea hasta que cruje rompiéndose de ira	se arquea hasta que cruje rompiéndose de   ira	14	2 6 9 13	-	Alejandrino	1.0
chocano	Y así es como el soneto por el dolor partido	Y así es como el soneto por el dolor partido	14	2 6 11 13	-	Alejandrino	1.0
chocano	hace pensar que, en este momento que me inspira	hace pensar que, en este momento que me inspira	14	1 4 6 9 13	-	Alejandrino	1.0
chocano	pongo bajo la tuya mi septicorde lira,	pongo bajo la tuya mi septicorde lira,	14	1 6 11 13	-	Alejandrino	1.0
chocano	para que los dos tengan un único sonido	para que los dos tengan un único sonido	14	5 6 8 9 13	-	Alejandrino	1.0
chocano	Nuestras dos liras juntan sus cánticos diversos	Nuestras dos liras juntan sus cánticos diversos	14	3 4 6 9 13	-	Alejandrino	1.0
chocano	y hacen que, al confundirse, pasen como un rugido	y hacen que, al confundirse, pasen como un rugido	14	1 6 8 11 13	-	Alejandrino	1.0
chocano	por las catorce cuerdas de estos catorce versos	por las catorce cuerdas de estos catorce versos	14	4 6 8 11 13	-	Alejandrino	1.0
chocano	Añoro yo aquel tiempo del miriñaque inflado,	Añoro yo aquel tiempo del miriñaque inflado,	14	2 4 5 6 11 13	-	Alejandrino	1.0
chocano	de los bucles en torno de la ovalada frente,	de los bucles en torno de la ovalada frente,	14	3 6 11 13	-	Alejandrino	1.0
chocano	de los largos zarcillos de plata reluciente	de los largos zarcillos de plata reluciente	14	3 6 9 13	-	Alejandrino	1.0
chocano	y del impertinente que hoy ha resucitado.	y del impertinente que hoy   ha resucitado	14	6 8 9 13	-	Alejandrino	1.0
chocano	En un daguerrotipo, que un fiel enamorado	En un daguerrotipo, que un fiel enamorado	14	2 6 8 9 13	-	Alejandrino	1.0
chocano	guarda, he visto una dama de aquel tiempo; y mi mente	guarda, he visto una dama de aquel tiempo; y mi mente	14	1 2 3 4 6 9 10 13	-	Alejandrino	1.0
chocano	se ha sentido confusa, porque en nuestro presente	se ha sentido confusa, porque en nuestro presente	14	1 3 6 13	-	Alejandrino	1.0
chocano	ya no hay aquella gracia que hubo en nuestro pasado	ya no hay aquella gracia que hubo   en nuestro pasado	14	1 2 3 5 7 13	-	Alejandrino	1.0
chocano	¡Oh tiempo aquel de gentes que, al mirarlas de lejos,	¡Oh tiempo aquel de gentes que, al mirarlas de lejos,	14	1 2 4 6 10 13	-	Alejandrino	1.0
chocano	aparecen rodeadas de una luz misteriosa,	aparecen rodadas de una luz misteriosa	14	3 6 8 10 13	-	Alejandrino	1.0
chocano	cual si las reflejasen desconchados espejos!	cual si las reflejasen desconchados espejos!	14	6 10 13	-	Alejandrino	1.0
chocano	Tibio rincón de encanto donde el amor chispea,	Tibio rincón de encanto donde el amor chispea,	14	1 4 6 11 13	-	Alejandrino	1.0
chocano	mientras que en el ambiente perfumado de rosa,	mientras que en el ambiente perfumado de rosa,	14	6 10 13	-	Alejandrino	1.0
chocano	flota el rumor de un ósculo entre una melopea.	flota el rumor de un ósculo entre una melopea.	14	1 4 5 6 9 13	-	Alejandrino	1.0
chocano	En la reja nerviosa gime una serenata,	En la reja nerviosa gime una serenata,	14	3 6 8 9 13	-	Alejandrino	1.0
chocano	bajo un celestinaje de picaresca Luna;	bajo un celestinaje de picaresca Luna;	14	2 6 11 13	-	Alejandrino	1.0
chocano	y tras la celosía, se presiente que hay una	y tras la celosía, se presiente que hay una	13	6 10 12	-	Tridecasílabo	1.0
chocano	mujer que es toda hecha de suspiro y de plata	mujer que es toda hecha de suspiro y de plata	13	2 3 4 5 9 12	-	Tridecasílabo	1.0
chocano	El galán embozado sus querellas desata	El galán embozado sus querellas desata	14	3 6 10 13	-	Alejandrino	1.0
chocano	en el claro silencio de la calle moruna;	en el claro silencio de la calle moruna;	14	3 6 10 13	-	Alejandrino	1.0
chocano	y, como un ala de ave que roza una laguna,	y, como un ala de ave que roza una laguna,	15	3 4 7 10 11 14	-	Pentadecasílabo	1.0
chocano	va diciendo en su canto la pena que lo mata.	va diciendo en su canto la pena que lo mata.	14	1 3 6 9 13	-	Alejandrino	1.0
chocano	Cesa la melodía; cruje la celosía;	Cesa la melodía; cruje la celosía;	14	1 6 8 13	-	Alejandrino	1.0
chocano	y la miel de un coloquio se disuelve en la hora,	y la miel de un coloquio se disuelve en la   hora	14	3 4 6 10 13	-	Alejandrino	1.0
chocano	hasta que el gallo dice la anunciación del día.	hasta que el gallo dice la anunciación del día.	14	4 6 11 13	-	Alejandrino	1.0
chocano	Se alarga un beso bajo la luna macilenta,	Se alarga un beso bajo la luna macilenta,	14	2 3 4 9 13	-	Alejandrino	1.0
chocano	las penumbras sonríen y la reja se enflora	las penumbras sonríen y la reja se enflora	14	3 6 10 13	-	Alejandrino	1.0
chocano	y esto es aquí y en mayo y en el año cuarenta.	y esto es aquí y en mayo y en el año cuarenta.	13	1 2 4 5 9 12	-	Tridecasílabo	1.0
chocano	Episodios galantes: citas breves y oscuras;	Episodios galantes: citas breves y oscuras;	14	3 6 8 10 13	-	Alejandrino	1.0
chocano	femeninos perfiles en cerradas calesas;	femeninos perfiles en cerradas calesas;	14	3 6 10 13	-	Alejandrino	1.0
chocano	silbidos que se cruzan en la sombras espesas;	silbidos que se cruzan en la sombras espesas;	14	2 6 10 13	-	Alejandrino	1.0
chocano	y brazos donjuanescos que aprisionan cinturas.	y brazos donjuanescos que aprisionan cinturas.	14	2 6 10 13	-	Alejandrino	1.0
chocano	Abadías que amparan un hervor de locuras,	Abadías que amparan un hervor de locuras,	14	3 6 8 10 13	-	Alejandrino	1.0
chocano	monasterios que tienen encantadas princesas;	monasterios que tienen encantadas princesas;	14	3 6 10 13	-	Alejandrino	1.0
chocano	breviarios en que cartas de amor laten opresas,	breviarios en que cartas de amor laten opresas,	14	2 6 9 10 13	-	Alejandrino	1.0
chocano	rosarios que en los dedos cuentan cien aventuras.	rosarios que en los dedos cuentan cien aventuras.	14	2 6 8 10 13	-	Alejandrino	1.0
chocano	Es un tiempo que pasa todo él de soslayo:	es un tiempo que pasa todo   él de soslayo	14	1 2 3 6 8 10 13	-	Alejandrino	1.0
chocano	la mujer sospechosa sufre siempre un desmayo	la mujer sospechosa sufre siempre un desmayo	14	3 6 8 10 11 13	-	Alejandrino	1.0
chocano	y el galán bajo el lecho disimula una cita.	y el galán bajo el lecho disimula una cita.	14	3 6 10 11 13	-	Alejandrino	1.0
chocano	Se diría que Venus a rezar ha aprendido;	Se diría que Venus a rezar ha aprendido;	14	3 6 10 11 13	-	Alejandrino	1.0
chocano	y, beatíficamente, moja el ramo florido	y, beatíficamente, moja el ramo florido	14	4 7 8 10 13	-	Alejandrino	1.0
chocano	de sus dedos rosados en el agua bendita	de sus dedos rosados en el agua bendita	14	3 6 10 13	-	Alejandrino	1.0
chocano	Y bien: todo ese tiempo de vidas amorosas	Y bien: todo ese tiempo de vidas amorosas	14	2 3 4 6 9 13	-	Alejandrino	1.0
chocano	se estremece en la lira del poeta risueño,	se estremece en la lira del poeta risueño,	14	3 6 10 13	-	Alejandrino	1.0
chocano	que aparece en diez lustros como el único dueño	que aparece en diez lustros como el único dueño	14	3 5 6 10 13	-	Alejandrino	1.0
chocano	de cuanto sabe a mieles y cuanto huele a rosas	de cuanto sabe a mieles y cuanto huele a rosas	14	4 6 11 13	-	Alejandrino	1.0
chocano	El poeta sonríe cuando habla de esas cosas;	El poeta sonríe cuando habla de esas cosas;	14	3 6 9 11 13	-	Alejandrino	1.0
chocano	y a través de su canto, como a través de un sueño,	y a través de su canto, como a través de un sueño,	14	3 6 11 12 13	-	Alejandrino	1.0
chocano	Jesucristo sonríe también desde su leño	Jesucristo sonríe también desde su leño	14	3 6 9 13	-	Alejandrino	1.0
chocano	y todas las sonrisas se vuelven mariposas.	y todas las sonrisas se vuelven mariposas.	14	2 6 9 13	-	Alejandrino	1.0
chocano	Noble, irónico, fino, disimula el manto	noble irónico fino disimula   el manto	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	de su verso, el poeta, todo el vicio: su canto	de su verso, el poeta, todo el vicio: su canto	14	3 6 8 10 13	-	Alejandrino	1.0
chocano	torna el mal de las gentes en artístico bien;	torna el mal de las gentes en artístico bien;	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	y, resaltando sobre la liviandad oscura,	y, resaltando sobre la liviandad oscura,	14	4 11 13	-	Alejandrino	1.0
chocano	de esa edad que él cantaba, sólo, al fin, su figura	de esa edad que él cantaba, sólo, al fin, su figura	14	1 3 4 6 8 10 13	-	Alejandrino	1.0
chocano	quedará por los siglos de los siglos Amén	quedará por los siglos de los siglos Amén	14	3 6 10 13	-	Alejandrino	1.0
chocano	Tengo una Virgen modelada en cera,	Tengo una Virgen modelada en cera,	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
chocano	ante la que arde extática mi vida,	ante la que arde extática mi vida,	11	4 6 10	4 6 10	Endecasílabo sáfico corto	1.0
chocano	cual si fuese una lámpara encendida	cual si fuese una lámpara encendida	11	3 4 6 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	que en honor de un amor se consumiera.	que en honor de un amor se consumiera.	11	3 4 6 10	3 6 10	Endecasílabo melódico puro	0.9
chocano	Por un rayo lunar de primavera	Por un rayo lunar de primavera	11	2 3 6 10	2 6 10	Endecasílabo heroico puro	0.9
chocano	vino a mí, como el bálsamo a la herida,	vino a mí, como el bálsamo a la herida,	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
chocano	esta gótica Virgen desprendida	esta gótica Virgen desprendida	11	1 3 6 10	1 3 6 10	Endecasílabo melódico corto	1.0
chocano	tal vez de una litúrgica vidriera.	tal vez de una litúrgica vidriera.	11	1 2 3 6 10	1 3 6 10	Endecasílabo melódico corto	0.9
chocano	Yo haré que siempre inmaculada brille	Yo haré que siempre inmaculada brille	11	1 2 4 8 10	1 4 8 10	Endecasílabo sáfico puro pleno	0.9
chocano	la Virgen de la frente taciturna	la Virgen de la frente taciturna	11	2 6 10	2 6 10	Endecasílabo heroico puro	1.0
chocano	y los ojos metálicos y tersos;	y los ojos metálicos y tersos;	11	3 6 10	3 6 10	Endecasílabo melódico puro	1.0
chocano	que, para que ni el aire la mancille,	que, para que ni el aire la mancille,	11	6 10	6 10	Endecasílabo vacío puro	1.0
chocano	la tengo -sin tocar- en una urna	la tengo sin tocar en una   urna	11	2 6 8 10	2 6 8 10	Endecasílabo heroico largo	1.0
chocano	hecha con los cristales de mis versos	hecha con los cristales de mis versos	11	1 6 10	1 6 10	Endecasílabo enfático puro	1.0
chocano	La tarde se pasea como convaleciente	La tarde se pasea como convaleciente	14	2 6 13	-	Alejandrino	1.0
chocano	por el verdor espeso de los cañaverales	por el verdor espeso de los cañaverales	14	4 6 13	-	Alejandrino	1.0
chocano	Desflécase una lluvia de menudos cristales;	Desflécase una lluvia de menudos cristales;	14	2 4 6 10 13	-	Alejandrino	1.0
chocano	y el paisaje retiembla como a través de un lente.	y el paisaje retiembla como a través de un lente.	14	3 6 11 12 13	-	Alejandrino	1.0
chocano	Las chimeneas rojas de la fábrica ingente	Las chimeneas rojas de la fábrica ingente	14	4 6 10 13	-	Alejandrino	1.0
chocano	dan la impresión de un barco que espera las señales	dan la impresión de un barco que espera las señales	14	1 4 5 6 9 13	-	Alejandrino	1.0
chocano	para zarpar, y cuyas campanas funerales	para zarpar, y cuyas campanas funerales	14	4 9 13	-	Alejandrino	1.0
chocano	de vez en cuando vuélcanse acompasadamente	de vez en cuando vuélcanse acompasadamente	14	2 6 11 13	-	Alejandrino	1.0
chocano	Tal cual palmera impone contra el cielo su estampa	Tal cual palmera impone contra el cielo su estampa	14	1 4 6 10 13	-	Alejandrino	1.0
chocano	de abanicos, que luce calado el varillaje	de abanicos, que luce calado el varillaje	14	3 6 9 13	-	Alejandrino	1.0
chocano	Las nubes fugan. Chillan los insectos. Escampa.	Las nubes fugan. Chillan los insectos. Escampa.	14	2 4 6 10 13	-	Alejandrino	1.0
chocano	Y un acordeón rústico alarga un danzón vago,	Y un acordeón rústico alarga un danzón vago,	14	1 5 6 9 10 12 13	-	Alejandrino	1.0
chocano	que se disuelve sobre la angustia del paisaje	que se disuelve sobre la angustia del paisaje	14	4 9 13	-	Alejandrino	1.0
chocano	como un jirón de niebla sobre la paz de un lago.	como un jirón de niebla sobre la paz de un lago.	14	2 4 6 11 12 13	-	Alejandrino	1.0
chocano	Renunciamiento. Anchura para nuestras miradas	Renunciamiento. Anchura para nuestras miradas	14	4 6 13	-	Alejandrino	1.0
chocano	y oración para el duelo de nuestros corazones	y oración para el duelo de nuestros corazones	14	3 6 13	-	Alejandrino	1.0
chocano	Es la hora propicia de las meditaciones,	es la   hora propicia de las meditaciones	14	1 3 6 13	-	Alejandrino	1.0
chocano	de los poetas tristes y de las bienamadas	de los poetas tristes y de las bienamadas	14	4 6 13	-	Alejandrino	1.0
chocano	En los cañaverales se oyen chocar espadas;	En los cañaverales se oyen chocar espadas;	14	6 8 11 13	-	Alejandrino	1.0
chocano	en las nubes se miran galopar escuadrones;	en las nubes se miran galopar escuadrones;	14	3 6 10 13	-	Alejandrino	1.0
chocano	y las rubias palmeras fingen crin de leones	y las rubias palmeras fingen crin de leones	14	3 6 8 10 13	-	Alejandrino	1.0
chocano	que sacuden al aire sus cabezas colgadas	que sacuden al aire sus cabezas colgadas	14	3 6 10 13	-	Alejandrino	1.0
chocano	¡Oh visión opresora de la muerte del día	¡Oh visión opresora de la muerte del día	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	sobre el campo! ¡Oh tristeza que difunde lo verde	sobre el campo! ¡Oh tristeza que difunde lo verde	14	3 4 6 10 13	-	Alejandrino	1.0
chocano	dilatándose bajo esta parada agonía!	dilatándose bajo esta parada agonía!	15	3 8 11 14	-	Pentadecasílabo	1.0
chocano	La añoranza imperiosa La esperanza tardía	La añoranza imperiosa La esperanza tardía	14	3 6 10 13	-	Alejandrino	1.0
chocano	La emoción que se agranda La extensión que se pierde	La emoción que se agranda La extensión que se pierde	14	3 6 10 13	-	Alejandrino	1.0
chocano	Y un murmullo que empieza: -Dios te salve, María	Y un murmullo que empieza: -Dios te salve, María	14	1 3 6 8 10 13	-	Alejandrino	1.0
chocano	¡Llena eres de gracia, madre Naturaleza!	llena   eres de gracia madre naturaleza	14	1 3 6 8 13	-	Alejandrino	1.0
chocano	Tú pones en mis ojos este Edén no perdido;	Tú pones en mis ojos este Edén no perdido;	14	1 2 6 8 10 11 13	-	Alejandrino	1.0
chocano	tú pones las más hondas palabras en mi oído:	tú pones las más hondas palabras en mi oído:	14	1 2 5 6 9 13	-	Alejandrino	1.0
chocano	tú pones el más alto laurel en mi cabeza	tú pones el más alto laurel en mi cabeza	14	1 2 5 6 9 13	-	Alejandrino	1.0
chocano	Y desde que en ti acaba todo lo que en mí empieza,	Y desde que en ti acaba todo lo que en mí empieza,	14	5 6 8 12 13	-	Alejandrino	1.0
chocano	te hago saber ahora lo que de ti he aprendido:	te hago saber ahora lo que de ti he aprendido:	14	1 4 6 11 13	-	Alejandrino	1.0
chocano	sólo por ti mi verso tiene este buen sentido	sólo por ti mi verso tiene este buen sentido	14	1 4 6 8 9 11 13	-	Alejandrino	1.0
chocano	de la melancolía bajo la fortaleza	de la melancolía bajo la fortaleza	14	6 13	-	Alejandrino	1.0
chocano	Naturaleza madre: todo mi amor es tuyo	Naturaleza madre: todo mi amor es tuyo	14	4 6 8 11 12 13	-	Alejandrino	1.0
chocano	En los cañaverales soy un vivaz cocuyo,	en los cañaverales soy   un vivaz cocuyo	14	6 8 9 11 13	-	Alejandrino	1.0
chocano	que horada la espesura con un furor cruel	que horada la   espesura con un furor cruel	14	2 7 10 12 13	-	Alejandrino	1.0
chocano	Y en las palmeras sueño con la triunfal entrada	Y en las palmeras sueño con la triunfal entrada	14	4 6 11 13	-	Alejandrino	1.0
chocano	en el corazón mismo de la mujer amada	en el corazón mismo de la mujer amada	14	5 6 11 13	-	Alejandrino	1.0
chocano	de besos tropicales más dulces que la miel	de besos tropicales más dulces que la miel	14	2 6 8 9 13	-	Alejandrino	1.0
chocano	El acordeón rústico envuelve en un son lento	El acordeón rústico envuelve en un son lento	14	5 6 9 11 12 13	-	Alejandrino	1.0
chocano	y monótono el alma del paisaje sensual:	y monótono el alma del paisaje sensual:	14	3 6 10 13	-	Alejandrino	1.0
chocano	es un danzón que ondula como una cinta el viento	es un danzón que ondula como una cinta el viento	14	1 2 4 6 9 11 13	-	Alejandrino	1.0
chocano	o como el rizo de una fontana de cristal	o como el rizo de una fontana de cristal	15	4 7 10 14	-	Pentadecasílabo	1.0
chocano	La tarde se deshoja, con el recogimiento	La tarde se deshoja, con el recogimiento	14	2 6 13	-	Alejandrino	1.0
chocano	de una monja que sueña lejos del bien y el mal,	de una monja que sueña lejos del bien y el mal,	14	1 3 6 8 11 13	-	Alejandrino	1.0
chocano	y la eglógica música aletarga el momento	y la eglógica música aletarga el momento	14	3 6 10 13	-	Alejandrino	1.0
chocano	y circunscribe toda la vida tropical	y circunscribe toda la vida tropical	14	4 6 9 13	-	Alejandrino	1.0
chocano	Acordeón, que tienes vaivenes de resaca:	Acordeón, que tienes vaivenes de resaca:	14	4 6 9 13	-	Alejandrino	1.0
chocano	algo hay en ti que rima con la nerviosa hamaca,	algo hay en ti que rima con la nerviosa   hamaca	14	1 2 3 5 10 13	-	Alejandrino	1.0
chocano	en donde la pereza se mece en blando son	en donde la pereza se mece en blando son	14	6 9 11 13	-	Alejandrino	1.0
chocano	Así, bajo el penacho de familiar palmera,	Así, bajo el penacho de familiar palmera,	14	2 6 11 13	-	Alejandrino	1.0
chocano	mientras se va muriendo la tarde, el alma entera	mientras se va muriendo la tarde, el alma entera	14	4 6 9 11 13	-	Alejandrino	1.0
chocano	del trópico, parece que rima una canción	del trópico, parece que rima una canción	14	2 6 9 10 13	-	Alejandrino	1.0
chocano	¡Qué impresión de alegría da esta casa, a manera	¡Qué impresión de alegría da esta casa, a manera	14	1 3 6 8 10 13	-	Alejandrino	1.0
chocano	de canoa que duerme junto a un brazo de mar!	de canoa que duerme junto a un brazo de mar!	14	3 6 8 9 10 13	-	Alejandrino	1.0
chocano	Leve techo de pajas y armazón de madera,	Leve techo de pajas y armazón de madera,	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	que recortan sus líneas entre un verde palmar	que recortan sus líneas entre un verde palmar	14	3 6 9 10 13	-	Alejandrino	1.0
chocano	Aunque el agua la acosa, se levanta ligera	Aunque el agua la acosa, se levanta ligera	14	3 6 10 13	-	Alejandrino	1.0
chocano	sobre estacas que préstanle expresión singular	sobre estacas que préstanle expresión singular	14	3 6 10 13	-	Alejandrino	1.0
chocano	de mujer, en la blanda y arenosa ribera,	de mujer, en la blanda y arenosa ribera,	14	3 6 10 13	-	Alejandrino	1.0
chocano	aprendiendo, en las puntas de sus pies, a bailar	aprendiendo, en las puntas de sus pies, a bailar	14	3 6 10 13	-	Alejandrino	1.0
chocano	Goza de una pureza de cristal en su ambiente	Goza de una pureza de cristal en su ambiente	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	Coquetea en las linfas Se enguirnalda la frente	Coquetea en las linfas Se enguirnalda la frente	14	3 6 10 13	-	Alejandrino	1.0
chocano	el rumor de las fondas le regala un collar.	el rumor de las fondas le regala un collar.	14	3 6 10 11 13	-	Alejandrino	1.0
chocano	Y hasta aumenta esta dicha de sencillo donaire	Y hasta aumenta esta dicha de sencillo donaire	14	3 4 6 10 13	-	Alejandrino	1.0
chocano	tal cual garza, que, a veces, zigzaguea en el aire,	tal cual garza, que, a veces, zigzaguea en el aire,	14	1 3 6 10 13	-	Alejandrino	1.0
chocano	como copo de espuma que rompiese a volar	como copo de espuma que rompiese a volar	14	3 6 10 13	-	Alejandrino	1.0
chocano	Vi yo que sobre el pecho tenías una rosa;	Vi yo que sobre el pecho tenías una rosa;	14	1 2 6 9 11 13	-	Alejandrino	1.0
chocano	e imaginé que tú eras un ramo que surgía	e imaginé que tú eras un ramo que surgía	16	4 6 8 10 11 15	-	Hexadecasílabo	1.0
chocano	de un cáliz de alabastro, y en él se convertía	de un cáliz de alabastro, y en él se convertía	14	1 2 6 9 13	-	Alejandrino	1.0
chocano	cada uno de tus ojos en una mariposa	cada uno de tus ojos en una mariposa	14	1 2 6 9 13	-	Alejandrino	1.0
chocano	Rayos de sol tejieron tus cabellos undosa,	Rayos de sol tejieron tus cabellos undosa,	14	1 4 6 10 13	-	Alejandrino	1.0
chocano	y, así, bajo tu cutis se transparenta el día;	y, así, bajo tu cutis se transparenta el día;	14	2 6 11 13	-	Alejandrino	1.0
chocano	por eso es que la rosa ceñirte parecía	por eso es que la rosa ceñirte parecía	14	2 3 6 9 13	-	Alejandrino	1.0
chocano	en torno de una estatua de nieve ruborosa.	en torno de una estatua de nieve ruborosa.	14	2 4 6 9 13	-	Alejandrino	1.0
chocano	Estatua que apareces nimbada por un astro,	Estatua que apareces nimbada por un astro,	14	2 6 9 12 13	-	Alejandrino	1.0
chocano	con cara hecha de rosas y cuerpo de alabastro,	con cara hecha de rosas y cuerpo de alabastro,	14	2 3 6 9 13	-	Alejandrino	1.0
chocano	en un jardín de plata, bajo un temblor de Luna:	en un jardín de plata, bajo un temblor de Luna:	14	2 4 6 9 11 13	-	Alejandrino	1.0
chocano	al ver la rosa encima del busto de carrara,	al ver la rosa encima del busto de carrara,	14	2 4 6 9 13	-	Alejandrino	1.0
chocano	pensé yo que del ramo de rosas de tu cara	pensé yo que del ramo de rosas de tu cara	14	2 3 6 9 13	-	Alejandrino	1.0
chocano	se había desprendido sobre tu pecho una	se había desprendido sobre tu pecho   una	14	2 6 11 13	-	Alejandrino	1.0
chocano	Guardados en un libro -que narra los tormentos	Guardados en un libro -que narra los tormentos	14	2 5 6 9 13	-	Alejandrino	1.0
chocano	locos de ese tiránico absurdo del amor-	locos de ese tiránico absurdo del amor-	14	1 3 6 9 13	-	Alejandrino	1.0
chocano	están, como señales, de mudos pensamientos,	están, como señales, de mudos pensamientos,	14	2 6 9 13	-	Alejandrino	1.0
chocano	los pétalos del leve cadáver de una flor	los pétalos del leve cadáver de una flor	14	2 6 9 11 13	-	Alejandrino	1.0
chocano	¿Qué dulces remembranzas o qué afanes cruentos	qué dulces remembranzas o qué   afanes cruentos	14	1 2 6 9 11 13	-	Alejandrino	1.0
chocano	se ocultarán en estos pétalos sin olor?	se ocultarán en estos pétalos sin olor?	14	4 6 8 13	-	Alejandrino	1.0
chocano	Románticos delirios o desfallecimientos,	Románticos delirios o desfallecimientos,	14	2 6 13	-	Alejandrino	1.0
chocano	que no hallaron manera de expresarse mejor	que no hallaron manera de expresarse mejor	14	2 3 6 10 13	-	Alejandrino	1.0
chocano	¡Oh la melancolía con que una sabia mano	¡Oh la melancolía con que una sabia mano	14	1 6 9 11 13	-	Alejandrino	1.0
chocano	dejó estas hojas sueltas, que hablan de un sueño vano,	dejó estas hojas sueltas, que hablan de un sueño vano,	14	2 4 6 8 10 11 13	-	Alejandrino	1.0
chocano	de un corazón enfermo, de una ansia de morir !	de un corazón enfermo, de una ansia de morir !	14	1 4 6 8 9 13	-	Alejandrino	1.0
chocano	Pétalos, expresivos de una emoción intensa,	Pétalos, expresivos de una emoción intensa,	14	1 6 8 11 13	-	Alejandrino	1.0
chocano	son la sílabas de una palabra que se piensa,	son la sílabas de una palabra que se piensa,	15	1 3 7 10 14	-	Pentadecasílabo	1.0
chocano	sin tener el consuelo de poderla decir.	sin tener el consuelo de poderla decir.	14	3 6 10 13	-	Alejandrino	1.0
chocano	Diálogo de una hora Somero que he vivido	diálogo de una hora somero que   he vivido	14	1 4 5 8 11 13	-	Alejandrino	1.0
chocano	con una linda joven, cuyo candor no empeño	con una linda joven, cuyo candor no empeño	14	2 4 6 11 12 13	-	Alejandrino	1.0
chocano	y a la que -desde lejos ya para siempre- pido	y a la que -desde lejos ya para siempre- pido	14	6 8 11 13	-	Alejandrino	1.0
chocano	perdón por esa hora ¡Si hubiese sido un año!	perdón por esa hora si hubiese sido   un año	14	2 4 5 8 10 12 13	-	Alejandrino	1.0
chocano	Hora de una doncella que en mi alma ha florecido,	Hora de una doncella que en mi alma ha florecido,	14	1 3 6 9 10 13	-	Alejandrino	1.0
chocano	para hacer ya de toda mi vida un desengaño:	para hacer ya de toda mi vida un desengaño:	14	3 4 6 9 10 13	-	Alejandrino	1.0
chocano	no hay - pues ni ha de ser mía, ni he de darla al olvido-	no hay - pues ni ha de ser mía, ni he de darla al olvido-	14	1 3 5 6 8 10 13	-	Alejandrino	1.0
chocano	mujer que en menor tiempo me hiciese mayor daño.	mujer que en menor tiempo me hiciese mayor daño.	14	2 5 6 9 12 13	-	Alejandrino	1.0
chocano	No la podré en mi vida ya olvidar -¡es tan ella!-	No la podré en mi vida ya olvidar -¡es tan ella!-	14	1 4 6 8 10 11 13	-	Alejandrino	1.0
chocano	ni escuchar -¡ y es tan dulce - ni mirar -¡y es tan bella!	ni escuchar -¡ y es tan dulce - ni mirar -¡y es tan bella!	14	3 4 6 10 11 13	-	Alejandrino	1.0
chocano	El placer más pequeño cuesta mucho dolor;	El placer más pequeño cuesta mucho dolor;	14	3 4 6 8 10 13	-	Alejandrino	1.0
chocano	pero, aunque sufra tanto, yo no sé todavía	pero, aunque sufra tanto, yo no sé todavía	14	4 6 8 9 10 13	-	Alejandrino	1.0
chocano	si en un soneto cabe toda la poesía	si en un soneto cabe toda la poesía	14	2 4 8 13	-	Alejandrino	1.0
chocano	con que en sólo una hora cupo todo su amor	con que en sólo una hora cupo todo su   amor	14	3 4 5 7 9 13	-	Alejandrino	1.0
chocano	No me ames como a un hombre que penetra en tu vida,	No me ames como a un hombre que penetra en tu vida,	14	1 2 5 6 10 13	-	Alejandrino	1.0
chocano	ámame como a un libro grato a tu corazón,	ámame como a un libro grato a tu corazón,	14	1 5 6 8 13	-	Alejandrino	1.0
chocano	que ardientemente sabe cauterizar tu herida	que ardientemente sabe cauterizar tu herida	14	2 4 6 11 13	-	Alejandrino	1.0
chocano	o que como un consuelo te ofrece una canción.	o que como un consuelo te ofrece una canción.	14	4 6 9 10 13	-	Alejandrino	1.0
chocano	Un libro (Sólo un alma que de letras vestida	Un libro (Sólo un alma que de letras vestida	14	1 2 4 5 6 10 13	-	Alejandrino	1.0
chocano	surge a tus ojo como fantástica visión )	surge a tus ojo como fantástica visión )	14	1 4 9 13	-	Alejandrino	1.0
chocano	Tendrás en él tu acaso página preferida	Tendrás en él tu acaso página preferida	14	2 4 6 8 13	-	Alejandrino	1.0
chocano	que te hablará de muchas cosas que ya no son	que te hablará de muchas cosas que ya no son	14	4 6 8 11 12 13	-	Alejandrino	1.0
chocano	Ámame como a un libro de sabio o de poeta,	Ámame como a un libro de sabio o de poeta,	14	1 5 6 9 13	-	Alejandrino	1.0
chocano	en el que hallen refugio tu combustión secreta	en el que hallen refugio tu combustión secreta	14	3 6 11 13	-	Alejandrino	1.0
chocano	y tu temor por cuanto pueda venir después	y tu temor por cuanto pueda venir después	14	4 8 11 13	-	Alejandrino	1.0
chocano	Ámame como a un libro de ensueños y de arcanos,	Ámame como a un libro de ensueños y de arcanos,	14	1 5 6 9 13	-	Alejandrino	1.0
chocano	que, en un arranque brusco, se escapa de tus manos,	que, en un arranque brusco, se escapa de tus manos,	14	2 4 6 9 13	-	Alejandrino	1.0
chocano	para dejar sus hojas deshechas a tus pies.	para dejar sus hojas deshechas a tus pies.	14	4 6 9 13	-	Alejandrino	1.0
chocano	Don Miguel de Cervantes me prestará su pluma,	Don Miguel de Cervantes me prestará su pluma,	14	3 6 11 13	-	Alejandrino	1.0
chocano	para escribir mi nombre debajo del proceso	para escribir mi nombre debajo del proceso	14	4 6 9 13	-	Alejandrino	1.0
